update,ID,Simple_numOffspring,alive,ancestors_AVE,ancestors_LIST,consumptionRatio_AVE,consumptionRatio_LIST,countCopy,countDelete,countIndel,countPoint,countPointOffset,food1_AVE,food1_LIST,food2_AVE,food2_LIST,food3_AVE,food3_LIST,food4_AVE,food4_LIST,food5_AVE,food5_LIST,genomeLength,optimizeValue,otherHits_AVE,otherHits_LIST,score_AVE,score_LIST,switches_AVE,switches_LIST,timeOfBirth,wallHits_AVE,wallHits_LIST
100,10001,1,1,9048.083333,"9010,9006,9047,9084,9005,9039,9002,9070,9090,9011,9053,9066,9029,9049,9012,9050,9087,9013,9092,9018,9088,9009,9051,9074,9023,9038,9075,9035,9069,9096,9058,9095,9041,9004,9083,9048,9031,9040,9077,9003,9052,9056,9093,9022,9059,9073,9036,9001,9080,9043,9061,9024,9099,9025,9065,9034,9021,9100,9026,9015,9094,9086,9007,9030,9032,9054,9044,9037,9027,9078,9019,9098",0.000000,"0,0",0,0,0,23,0,0.500000,"1,0",0.500000,"0,1",1.000000,"1,1",0.000000,"0,0",0.000000,"0,0",4873,1.000000,1.000000,"1,1",1.000000,"1.000000,1.000000",1.000000,"1,1",99,0.000000,"0,0"
100,10002,4,1,9050.671642,"9059,9044,9027,9078,9098,9029,9030,9015,9094,9052,9018,9083,9004,9074,9023,9001,9080,9075,9095,9058,9073,9036,9043,9024,9041,9007,9034,9050,9025,9099,9031,9048,9096,9022,9090,9051,9009,9088,9003,9040,9077,9056,9093,9066,9012,9091,9049,9021,9100,9069,9032,9035,9005,9084,9061,9039,9002,9053,9070,9092,9013,9087,9054,9047,9065,9037,9038",3.500000,"6,1",0,0,0,21,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",3.500000,"6,1",4779,3.500000,0.000000,"0,0",3.500000,"6.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10003,2,1,9049.128571,"9083,9004,9005,9084,9053,9090,9011,9074,9037,9041,9086,9007,9094,9015,9052,9029,9010,9044,9022,9059,9096,9019,9098,9077,9040,9003,9061,9024,9095,9058,9021,9100,9026,9088,9051,9092,9013,9087,9050,9049,9091,9012,9047,9099,9025,9065,9023,9034,9073,9036,9056,9093,9070,9075,9035,9018,9048,9031,9043,9006,9080,9001,9066,9030,9002,9039,9054,9069,9038,9032",1.500000,"2,1",0,0,0,25,0,1.500000,"2,1",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",4646,1.500000,0.500000,"0,1",1.500000,"2.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10004,6,1,9049.555556,"9022,9006,9026,9037,9093,9056,9065,9031,9088,9009,9051,9091,9012,9049,9075,9038,9041,9004,9083,9077,9003,9040,9069,9032,9087,9036,9054,9046,9079,9044,9098,9019,9084,9005,9047,9030,9002,9039,9074,9094,9015,9029,9066,9052,9096,9050,9061,9095,9016,9021,9100,9043,9001,9080,9099,9025,9053,9090,9073,9048,9034,9086,9007,9070,9013,9092,9018,9035,9058,9023,9024,9059",2.000000,"3,1",0,0,0,29,0,0.000000,"0,0",0.000000,"0,0",2.000000,"3,1",0.000000,"0,0",0.000000,"0,0",4680,2.000000,0.500000,"0,1",2.000000,"3.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10005,1,1,9049.101449,"9054,9079,9052,9087,9050,9013,9092,9018,9026,9061,9024,9098,9019,9056,9093,9048,9036,9073,9039,9002,9043,9030,9088,9009,9051,9074,9023,9035,9032,9069,9049,9086,9007,9053,9090,9075,9058,9031,9044,9005,9084,9047,9010,9070,9066,9029,9034,9096,9059,9012,9001,9080,9006,9041,9083,9004,9065,9099,9025,9100,9021,9095,9015,9094,9077,9040,9003,9022,9038",1.000000,"1,1",0,0,0,27,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.500000,"1,0",0.500000,"0,1",4754,1.000000,0.500000,"1,0",1.000000,"1.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10006,4,1,9049.582090,"9038,9024,9034,9023,9065,9025,9099,9047,9091,9012,9049,9022,9059,9005,9084,9053,9090,9074,9037,9004,9083,9041,9061,9007,9009,9088,9077,9003,9029,9026,9021,9100,9051,9092,9013,9087,9050,9015,9094,9052,9058,9095,9073,9036,9056,9093,9070,9075,9035,9018,9048,9031,9043,9006,9080,9001,9066,9030,9002,9039,9054,9098,9044,9040,9096,9069,9032",1.500000,"1,2",0,0,0,23,0,2.500000,"1,4",0.000000,"0,0",0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",4809,2.000000,0.500000,"0,1",2.000000,"1.000000,3.000000",1.000000,"0,2",99,0.000000,"0,0"
100,10100,4,1,9048.236111,"9006,9047,9084,9005,9039,9002,9070,9090,9011,9053,9066,9029,9049,9091,9012,9050,9087,9013,9092,9018,9088,9009,9051,9074,9023,9038,9075,9035,9069,9096,9058,9016,9095,9041,9004,9083,9048,9031,9040,9077,9003,9052,9056,9093,9022,9059,9073,9036,9001,9080,9043,9061,9024,9099,9025,9065,9034,9021,9100,9026,9015,9094,9007,9030,9032,9054,9044,9037,9027,9078,9019,9098",1.000000,"1,1",0,0,0,24,0,0.500000,"1,0",0.000000,"0,0",0.500000,"0,1",0.000000,"0,0",0.000000,"0,0",4839,1.000000,1.000000,"1,1",1.000000,"1.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10008,7,1,9050.569444,"9037,9027,9078,9022,9093,9056,9065,9031,9088,9009,9051,9091,9012,9049,9075,9038,9041,9004,9083,9077,9003,9040,9069,9032,9087,9036,9054,9046,9079,9044,9098,9019,9084,9005,9047,9030,9002,9039,9074,9094,9015,9029,9066,9052,9096,9050,9061,9095,9016,9021,9100,9043,9001,9080,9099,9025,9053,9090,9073,9048,9034,9086,9007,9070,9013,9092,9018,9035,9058,9023,9024,9059",3.000000,"5,1",0,0,0,26,0,0.000000,"0,0",0.000000,"0,0",2.500000,"5,0",0.000000,"0,0",0.500000,"0,1",4611,3.000000,0.500000,"0,1",3.000000,"5.000000,1.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10099,3,1,9048.171429,"9044,9010,9074,9037,9069,9032,9075,9038,9073,9036,9086,9007,9039,9002,9090,9011,9053,9070,9092,9013,9056,9093,9029,9009,9088,9022,9059,9096,9031,9065,9048,9077,9040,9003,9051,9041,9034,9047,9087,9050,9023,9006,9080,9052,9094,9015,9026,9021,9100,9095,9016,9058,9099,9025,9030,9024,9061,9012,9049,9004,9083,9066,9018,9035,9005,9084,9054,9098,9019,9043",1.000000,"0,2",0,0,0,27,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",1.000000,"0,2",4732,1.000000,0.000000,"0,0",1.000000,"0.000000,2.000000",0.000000,"0,0",99,0.000000,"0,0"
100,10010,4,1,9049.507246,"9024,9058,9047,9012,9049,9099,9025,9004,9083,9041,9051,9088,9009,9077,9003,9054,9001,9080,9075,9026,9094,9015,9006,9096,9059,9022,9056,9095,9098,9050,9013,9092,9018,9044,9007,9086,9069,9032,9052,9031,9065,9034,9073,9036,9043,9048,9093,9030,9074,9023,9021,9100,9035,9061,9039,9002,9084,9005,9087,9053,9011,9090,9070,9066,9029,9079,9046,9040,9038",2.500000,"0,5",0,0,0,21,0,0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",0.000000,"0,0",2.500000,"0,5",4599,2.500000,0.000000,"0,0",2.500000,"0.000000,5.000000",0.000000,"0,0",99,0.000000,"0,0"
